,Unnamed: 0,team_name,week,neutral_site,conference_game,home_team,home_points,home_post_win_prob,home_pregame_elo,home_postgame_elo,away_team,away_points,away_post_win_prob,away_pregame_elo,away_postgame_elo,elo_diff,point_diff,home/away,win/loss
108,108,Florida,13,False,False,Florida State,45.0,0.7590230965326006,1851.0,1850.0,Florida,38.0,0.24097690346739944,1649.0,1650.0,-202.0,-7.0,Away,L
109,109,Oregon State,1,False,False,Oregon State,34.0,0.9925561231359976,1544.0,1593.0,Boise State,17.0,0.007443876864002497,1664.0,1615.0,-120.0,17.0,Home,W
110,110,Oregon State,2,False,False,Fresno State,32.0,0.1341690344437201,1590.0,1586.0,Oregon State,35.0,0.8658309655562799,1593.0,1597.0,3.0,3.0,Away,W
111,111,Oregon State,3,True,False,Oregon State,68.0,0.9985285935128614,1599.0,1599.0,Montana State,28.0,0.0014714064871386154,,,,40.0,Home,W
112,112,Oregon State,4,False,True,Oregon State,14.0,0.8734101207698743,1597.0,1598.0,USC,17.0,0.12658987923012566,1687.0,1686.0,-90.0,-3.0,Home,L
113,113,Oregon State,5,False,True,Utah,42.0,0.9957968908468378,1847.0,1886.0,Oregon State,16.0,0.004203109153162243,1598.0,1559.0,-249.0,-26.0,Away,L
114,114,Oregon State,6,False,True,Stanford,27.0,0.12703671517450948,1315.0,1325.0,Oregon State,28.0,0.8729632848254905,1559.0,1549.0,244.0,1.0,Away,W
115,115,Oregon State,7,False,True,Oregon State,24.0,0.9949367915984372,1549.0,1586.0,Washington State,10.0,0.005063208401562935,1643.0,1606.0,-94.0,14.0,Home,W
116,116,Oregon State,8,False,True,Oregon State,42.0,0.9989704120724592,1586.0,1628.0,Colorado,9.0,0.0010295879275410424,1179.0,1137.0,407.0,33.0,Home,W
117,117,Oregon State,10,False,True,Washington,24.0,0.238916890329282,1602.0,1603.0,Oregon State,21.0,0.761083109670718,1628.0,1627.0,26.0,-3.0,Away,L
118,118,Oregon State,11,False,True,Oregon State,38.0,0.9964070055556772,1627.0,1680.0,California,10.0,0.0035929944443229282,1450.0,1397.0,177.0,28.0,Home,W
119,119,Oregon State,12,False,True,Arizona State,7.0,0.0016313452147092278,1489.0,1448.0,Oregon State,31.0,0.9983686547852908,1680.0,1721.0,191.0,24.0,Away,W
120,120,Oregon State,13,False,True,Oregon State,38.0,0.8326410963965293,1721.0,1724.0,Oregon,34.0,0.16735890360347072,1732.0,1729.0,-11.0,4.0,Home,W
